Age,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome
24,11,2,26,1,4,2,3,0,18,3,4,1,5,5,2,4,2,1,3,4011
36,9,4,27,3,2,1,1,7,23,4,2,0,10,4,3,5,3,0,3,3407
34,7,4,28,1,3,3,2,0,11,3,3,0,13,4,3,12,6,2,11,11994
21,15,2,30,3,3,1,4,1,14,3,4,0,0,6,3,0,0,0,0,1232
34,6,1,31,2,3,1,1,2,11,3,3,0,8,2,3,4,2,1,3,2960
53,5,3,32,3,3,5,3,4,11,3,4,1,26,3,2,14,13,4,8,19094
32,16,1,33,2,1,1,1,1,22,4,2,0,10,5,3,10,2,6,7,3919
42,8,4,35,3,3,2,2,0,11,3,4,1,10,2,3,9,7,4,2,6825
44,7,4,36,1,2,3,4,3,14,3,4,1,24,4,3,22,6,5,17,10248
46,2,4,38,2,3,5,1,3,12,3,4,0,22,2,2,2,2,2,1,18947
33,2,3,39,3,3,1,4,4,11,3,4,0,7,3,3,1,1,0,0,2496
44,10,4,40,4,3,2,4,2,13,3,4,0,9,5,4,4,2,1,3,6465
30,9,2,41,4,2,1,3,1,13,3,1,0,10,5,3,10,0,1,8,2206
39,5,3,42,4,3,2,4,3,14,3,3,1,19,6,4,1,0,0,0,2086
24,1,3,45,2,3,1,4,2,16,3,1,1,6,2,2,2,0,2,0,2293
43,2,2,46,4,4,1,3,1,12,3,4,2,6,3,2,5,3,1,4,2645
50,3,2,47,1,2,1,3,1,14,3,3,0,3,2,3,3,2,0,2,2683
35,2,3,49,4,3,1,4,1,13,3,1,0,2,3,3,2,2,2,2,2014
36,5,4,51,2,2,1,1,9,14,3,4,1,6,3,4,1,1,0,0,3419
33,1,3,52,3,4,2,1,2,19,3,1,2,10,3,3,5,3,1,3,5376
35,4,2,53,3,3,1,4,1,12,3,3,1,1,3,3,1,0,0,0,1951
27,2,4,54,4,3,1,1,1,13,3,4,1,1,6,3,1,0,0,0,2341
26,25,3,55,1,1,1,3,1,12,3,3,0,1,2,2,1,0,0,1,2293
27,8,3,56,4,3,3,3,1,15,3,4,0,9,0,3,9,8,1,7,8726
30,1,2,57,3,3,2,4,1,23,4,4,0,12,2,3,12,8,3,7,4011
41,12,3,58,2,3,5,3,1,12,3,4,0,23,0,3,22,15,15,8,19545
34,23,4,60,2,3,2,3,0,20,4,3,0,10,2,3,9,5,8,7,4568
37,19,2,61,2,3,1,2,4,21,4,1,0,8,1,3,1,0,0,0,3022
46,5,4,62,1,3,2,4,4,21,4,3,0,14,4,3,9,6,0,8,5772
35,8,1,63,4,4,1,4,1,19,3,4,0,1,2,3,1,0,0,1,2269
48,1,2,64,1,2,3,3,9,13,3,4,0,23,2,3,1,0,0,0,5381
28,5,4,65,3,3,1,3,1,13,3,3,0,2,3,2,2,2,2,2,3441
44,1,5,68,2,3,2,1,5,21,4,3,1,9,2,2,4,3,1,3,5454
35,11,2,70,3,2,3,1,2,13,3,3,1,10,3,3,4,0,2,3,9884
26,23,3,72,3,2,2,4,7,19,3,3,1,5,2,2,2,2,0,0,4157
33,1,2,73,1,3,3,4,1,12,3,3,0,15,1,3,15,14,8,12,13458
35,18,5,74,2,3,3,1,1,22,4,4,1,9,3,2,9,8,1,8,9069
35,23,4,75,3,3,1,1,3,15,3,3,1,4,3,3,2,2,2,2,4014
31,7,4,76,4,3,2,4,3,22,4,4,1,10,3,2,7,7,1,7,5915
37,1,4,77,1,2,2,3,1,18,3,3,1,7,2,4,7,5,0,7,5993
32,1,3,78,1,3,2,4,1,22,4,2,1,9,3,3,9,8,7,8,6162
38,29,5,79,4,3,2,4,1,11,3,4,0,10,2,3,10,3,9,9,2406
50,7,2,80,2,2,5,3,5,12,3,4,1,29,2,2,27,3,13,8,18740
59,25,3,81,1,3,3,1,7,11,3,4,0,28,3,2,21,16,7,9,7637
36,8,3,83,3,3,3,3,1,13,3,2,3,17,2,3,17,14,12,8,10096
55,8,3,84,4,3,4,3,2,14,3,3,3,21,2,3,5,0,0,2,14756
36,11,3,85,2,2,2,2,1,13,3,3,0,6,3,3,6,5,0,3,6499
45,7,3,86,2,3,3,1,2,17,3,3,1,25,2,3,1,0,0,0,9724
35,1,3,88,2,3,1,1,4,13,3,4,1,5,2,2,3,2,1,2,2194
36,9,3,90,4,2,1,3,0,17,3,1,1,2,0,2,1,0,0,0,3388
59,1,1,91,1,2,2,3,7,11,3,4,0,20,2,2,4,3,1,3,5473
29,2,3,94,3,3,1,2,0,23,4,4,1,6,3,3,5,4,0,4,2703
31,1,4,95,3,3,1,2,1,17,3,2,0,1,4,3,1,1,1,0,2501
32,1,3,96,2,3,2,2,1,17,3,2,2,10,3,3,10,4,0,9,6220
36,6,3,97,2,4,1,4,3,12,3,2,0,5,3,3,1,0,0,0,3038
31,8,4,98,3,3,2,4,1,23,4,4,0,11,2,3,11,7,1,8,4424
35,1,4,100,3,2,2,1,0,14,3,2,0,16,2,3,15,13,2,8,4312
45,6,4,101,4,3,3,1,4,14,3,2,0,17,3,4,0,0,0,0,13245
37,7,4,102,1,3,3,3,4,13,3,1,0,16,3,4,5,2,0,2,13664
46,5,2,103,2,3,2,2,8,22,4,4,1,16,2,3,4,2,0,2,5021
30,1,1,104,4,2,2,4,1,12,3,3,2,10,1,2,10,8,3,0,5126
35,1,3,105,2,2,1,3,1,18,3,1,0,6,3,3,6,4,0,4,2859
55,1,2,106,1,3,3,4,3,14,3,4,1,24,4,3,1,0,1,0,10239
38,6,3,107,2,1,2,4,7,12,3,4,3,17,3,3,13,11,1,9,5329
34,1,2,110,1,3,2,2,1,15,3,3,0,5,2,3,5,2,1,3,4325
56,7,3,112,4,1,3,4,4,11,3,1,0,37,3,2,6,4,0,2,7260
23,2,1,113,3,3,1,1,3,13,3,3,1,3,3,3,0,0,0,0,2322
51,9,4,116,4,3,1,4,3,23,4,2,2,10,4,3,4,2,0,3,2075
30,2,3,117,3,2,2,4,1,19,3,1,3,11,3,3,11,10,10,8,4152
46,9,2,118,3,2,3,4,1,16,3,4,0,9,3,3,9,8,4,7,9619
40,1,4,119,3,2,4,2,1,22,4,4,1,22,3,2,22,3,11,11,13503
51,21,4,120,3,3,2,4,0,22,4,4,0,11,2,1,10,7,1,0,5441
30,4,2,121,3,2,2,2,1,12,3,2,3,11,4,2,11,8,2,7,5209
46,1,3,124,3,2,3,1,2,13,3,3,1,21,5,2,10,9,9,5,10673
32,6,4,125,2,3,2,3,1,16,3,1,0,12,0,3,11,8,5,7,5010
54,2,4,126,1,3,3,3,9,12,3,1,1,16,5,1,4,3,0,3,13549
24,3,2,128,1,3,2,3,0,21,4,1,1,4,2,2,3,2,0,2,4999
28,4,3,129,2,3,2,3,1,15,3,2,0,5,3,4,5,4,0,4,4221
58,10,4,131,4,3,4,3,0,13,3,3,0,38,1,2,37,10,1,8,13872
44,23,3,132,2,3,2,2,4,12,3,3,1,17,3,4,3,2,1,2,2042
37,6,4,133,3,3,1,1,4,22,4,4,0,7,3,3,3,2,0,2,2073
32,1,1,134,4,3,1,1,1,13,3,4,0,1,2,3,1,0,0,0,2956
20,6,3,137,4,2,1,4,1,18,3,2,0,1,5,3,1,0,1,0,2926
34,6,4,138,1,3,2,3,1,14,3,3,0,16,3,3,16,13,2,10,4809
37,2,2,139,3,2,2,4,5,14,3,4,1,17,2,4,1,0,0,0,5163
59,2,4,140,3,2,5,4,9,21,4,4,1,30,3,3,3,2,2,2,18844
50,1,3,141,1,3,5,2,3,19,3,1,0,28,1,2,8,3,0,7,18172
25,5,3,142,3,2,2,3,1,11,3,4,0,6,1,3,6,4,0,3,5744
25,7,1,143,4,2,1,4,1,11,3,3,2,2,2,3,2,2,2,1,2889
22,15,3,144,2,3,1,4,1,15,3,3,0,1,5,3,0,0,0,0,2871
51,1,4,145,1,2,3,1,3,20,4,3,0,23,1,2,13,12,12,8,7484
34,7,3,147,1,1,2,3,1,24,4,4,0,9,3,3,9,7,0,6,6074
54,26,3,148,4,4,4,4,2,12,3,3,0,23,3,3,5,3,4,4,17328
24,18,1,150,2,3,1,3,0,12,3,3,1,6,2,3,5,3,1,2,2774
34,6,4,151,3,2,2,2,6,15,3,3,1,12,3,3,1,0,0,0,4505
37,3,3,152,3,3,3,4,2,12,3,1,0,12,3,3,5,3,1,3,7428
34,5,3,153,3,2,3,1,2,12,3,4,0,14,6,3,11,10,5,8,11631
36,11,2,154,2,3,3,4,0,14,3,3,1,10,6,3,9,7,2,8,9738
36,3,2,155,1,3,1,4,5,22,4,1,1,7,2,3,1,0,0,0,2835
43,26,2,158,3,3,4,4,1,12,3,4,2,25,3,4,25,12,4,12,16959
30,23,3,159,1,1,1,3,1,25,4,3,3,10,2,2,10,7,0,9,2613
33,22,2,160,3,3,2,2,0,13,3,1,1,8,2,4,7,7,0,7,6146
56,14,4,161,2,3,1,2,9,18,3,1,3,7,2,3,5,4,4,3,4963
51,6,3,162,1,3,5,3,7,13,3,3,0,23,5,3,20,18,15,15,19537
31,6,4,163,2,1,2,3,4,18,3,2,0,12,3,2,7,7,7,7,6172
26,6,3,164,3,2,1,2,1,19,3,3,0,5,3,2,5,4,4,3,2368
58,23,4,165,4,3,3,4,1,12,3,4,1,40,3,2,40,10,15,6,10312
19,22,1,167,4,3,1,3,1,19,3,4,0,0,2,2,0,0,0,0,1675
22,2,1,169,3,3,1,4,0,14,3,3,1,3,2,3,2,1,2,1,2523
49,20,4,170,3,3,2,1,1,14,3,3,0,16,2,2,15,11,5,11,6567
43,28,3,171,2,4,1,3,4,12,3,4,0,18,2,3,3,2,1,2,4739
50,12,3,174,3,3,3,4,4,11,3,4,0,16,3,3,2,2,2,1,9208
31,20,3,175,2,1,2,3,3,11,3,3,1,4,2,3,2,2,2,2,4559
41,9,1,176,3,3,3,3,3,13,3,3,1,12,2,3,9,7,0,7,8189
26,25,1,177,3,3,1,3,1,23,4,4,1,8,3,3,8,7,5,7,2942
36,6,2,178,2,3,2,2,6,20,4,4,2,7,0,3,3,2,0,1,4941
51,8,4,179,1,1,3,4,2,15,3,4,0,18,2,3,4,2,0,3,10650
39,4,4,182,4,2,2,3,4,14,3,3,1,17,1,4,15,11,5,9,5902
25,28,3,183,1,2,2,3,2,18,3,4,0,6,3,3,2,2,2,2,8639
30,9,3,184,3,3,2,4,0,19,3,4,0,12,2,1,11,9,4,7,6347
32,9,3,190,1,3,1,1,7,22,4,1,0,10,2,4,5,4,0,4,4200
45,29,3,192,3,3,1,4,5,13,3,2,0,9,2,2,6,5,0,3,3452
38,3,5,193,4,3,2,3,3,20,4,2,0,19,2,3,3,2,2,2,4317
30,18,3,194,1,3,1,3,1,14,3,3,0,5,4,2,5,4,0,4,2632
32,9,2,195,4,1,2,4,0,17,3,4,3,9,2,4,8,7,0,7,4668
30,5,3,197,4,3,1,1,5,14,3,4,1,8,3,3,3,2,2,2,3204
30,2,1,198,2,2,1,4,0,13,3,4,0,6,3,3,5,3,1,2,2720
41,10,3,199,4,2,4,1,4,13,3,2,1,21,2,2,7,6,7,7,17181
41,9,4,200,3,3,1,1,2,21,4,4,1,7,2,3,5,0,1,4,2238
19,3,1,201,2,3,1,2,1,14,3,4,0,1,3,3,1,0,0,0,1483
40,26,3,202,2,3,2,2,1,11,3,1,1,20,2,3,20,7,2,13,5605
35,1,5,204,3,3,3,2,1,13,3,1,2,10,3,3,10,8,0,6,7295
53,6,2,205,2,3,2,3,2,20,4,4,1,13,3,1,7,7,4,5,2306
45,9,3,206,2,3,2,2,8,18,3,3,1,20,2,1,17,9,0,15,2348
32,8,3,207,2,3,3,4,1,14,3,4,0,9,2,3,9,8,3,7,8998
29,1,1,208,4,3,2,3,1,13,3,1,1,10,1,3,10,7,0,9,4319
51,7,4,211,2,2,2,3,2,17,3,3,0,10,2,3,1,0,0,0,6132
58,9,3,214,2,2,1,2,4,20,4,2,1,9,3,2,1,0,0,0,3346
40,4,4,215,3,2,3,4,7,11,3,1,1,15,2,2,12,11,2,11,10855
34,2,4,216,3,3,1,3,6,18,3,4,1,6,3,3,4,3,1,2,2231
22,19,1,217,3,3,1,4,1,24,4,1,2,2,6,3,2,2,2,2,2323
27,9,3,218,4,3,1,2,6,18,3,4,1,6,1,1,2,2,2,2,2024
28,21,3,221,3,3,1,4,1,11,3,3,1,5,2,1,5,2,0,2,2713
57,24,2,223,3,4,3,4,3,16,3,2,1,12,2,1,5,3,1,4,9439
27,3,3,224,3,2,1,3,1,15,3,4,1,1,2,2,1,1,0,1,2566
50,11,3,226,3,3,5,2,3,15,3,2,0,21,5,3,5,4,4,4,19926
41,14,3,227,1,3,1,3,4,12,3,1,1,13,2,3,9,8,1,8,2451
30,5,3,228,2,3,3,4,2,12,3,3,1,12,2,3,10,9,7,4,9419
38,1,4,230,1,2,2,4,4,22,4,3,0,12,2,4,8,3,0,7,8686
32,6,5,231,3,3,1,3,3,20,4,1,0,8,2,3,5,4,1,4,3038
27,17,3,233,3,3,1,2,0,16,3,4,1,6,3,2,5,2,1,1,3058
19,1,1,235,3,1,1,1,0,21,4,1,0,1,5,4,0,0,0,0,2325
36,3,2,238,4,3,1,2,4,12,3,3,0,13,3,2,8,7,7,2,2088
30,9,3,239,3,3,2,1,1,11,3,3,2,12,4,3,12,9,6,10,3072
45,4,2,240,3,3,2,1,4,11,3,1,1,9,3,4,5,4,0,3,5006
56,8,3,241,3,3,1,1,4,18,3,3,1,19,3,3,2,2,2,2,4257
33,2,3,242,3,3,1,4,0,14,3,1,0,4,2,4,3,1,0,2,2500
19,2,3,243,2,2,1,4,1,22,4,3,0,1,3,2,1,0,1,0,1102
46,1,2,244,2,3,3,1,1,25,4,3,3,24,2,3,24,13,15,7,10453
38,9,2,245,3,3,1,4,1,12,3,3,0,2,3,3,2,2,2,1,2288
31,12,1,246,3,3,1,4,8,23,4,3,1,7,0,3,4,2,0,2,3929
34,27,2,247,4,3,1,2,2,15,3,4,0,9,3,3,3,2,1,2,2311
41,20,2,248,2,3,1,2,1,22,4,4,0,4,5,2,4,3,0,2,3140
50,1,3,249,3,2,1,3,2,15,3,4,1,5,2,2,3,2,0,2,3690
53,13,2,250,4,4,2,1,1,11,3,3,2,5,3,3,4,2,1,3,4450
33,14,3,252,4,3,1,2,1,13,3,4,1,8,5,3,8,7,1,6,2756
40,4,1,253,4,3,5,3,1,14,3,2,1,21,2,3,20,8,9,9,19033
55,14,4,254,3,4,5,2,8,11,3,4,0,36,3,3,24,15,2,15,18722
34,2,1,256,4,2,2,3,1,17,3,3,0,10,2,2,10,9,1,9,9547
51,3,3,258,4,3,4,2,3,18,3,3,0,21,6,3,7,7,1,0,13734
52,1,4,259,3,2,5,3,0,14,3,1,1,34,5,3,33,18,11,9,19999
27,9,3,260,4,3,1,2,1,16,3,4,0,7,2,2,7,7,0,3,2279
35,23,2,261,2,2,2,3,3,13,3,1,0,8,1,3,1,0,0,1,5916
43,7,3,262,4,4,1,4,4,14,3,4,3,7,3,4,5,4,2,2,2089
45,2,2,264,1,2,4,4,9,23,4,4,1,22,1,3,20,8,11,8,16792
37,21,3,267,2,4,1,1,1,12,3,1,1,8,3,2,8,7,1,7,3564
35,2,3,269,2,3,2,2,5,11,3,4,0,10,5,3,6,2,1,2,4425
42,21,2,270,3,3,2,3,2,16,3,2,1,11,5,3,5,3,0,2,5265
38,2,4,271,4,3,2,3,9,14,3,2,0,14,3,3,1,0,0,0,6553
38,29,3,273,4,3,2,4,3,18,3,1,1,9,3,1,7,7,1,7,6261
27,1,1,274,3,2,2,1,5,19,3,3,1,6,1,3,2,2,2,0,4298
49,18,4,275,4,3,2,4,1,15,3,1,2,7,0,3,7,7,1,7,6804
34,10,4,277,4,3,1,3,1,17,3,4,1,5,4,4,5,3,2,0,3815
40,19,2,281,3,3,2,4,8,15,3,3,1,15,2,4,7,2,3,7,2741
38,29,1,282,2,3,2,1,7,19,3,2,0,17,2,3,1,0,0,0,6673
29,27,3,283,2,3,3,4,1,22,4,4,3,10,3,2,10,4,1,9,7639
22,5,3,284,4,4,1,2,1,16,3,1,1,4,2,2,4,2,2,2,2328
36,18,1,286,2,3,1,4,1,13,3,1,0,8,2,3,8,1,1,7,2153
40,9,5,287,4,2,2,4,9,14,3,4,1,5,5,1,3,2,0,2,4876
46,1,4,288,4,3,3,1,7,16,3,3,1,17,3,3,4,2,0,3,9396
32,4,4,291,4,1,3,4,1,11,3,3,0,14,2,2,14,8,9,8,10400
30,1,1,292,3,2,3,3,1,22,4,3,0,12,2,3,11,8,5,8,8474
27,20,3,293,4,3,2,3,1,14,3,4,0,7,2,3,7,7,0,7,9981
51,8,4,296,2,2,3,2,5,16,3,4,2,16,5,1,10,9,4,7,12490
30,3,3,297,4,3,1,1,5,11,3,3,0,8,5,3,5,2,0,4,2657
41,6,3,298,4,3,3,4,3,18,3,3,0,16,3,3,1,0,0,0,13591
30,26,4,299,3,2,2,1,5,15,3,3,0,9,5,2,6,3,0,1,6696
29,1,3,300,3,3,1,3,0,14,3,4,0,7,1,2,6,2,1,5,2058
45,6,3,302,4,2,3,4,6,12,3,4,0,23,2,3,19,7,12,8,8865
54,3,3,303,4,3,2,1,2,14,3,4,1,16,4,3,6,2,0,5,5940
36,5,2,304,4,3,2,2,8,16,3,4,0,16,3,4,13,11,3,7,5914
33,4,4,305,3,2,1,2,6,21,4,4,0,7,3,3,3,2,1,1,2622
37,11,3,306,2,3,3,4,1,14,3,3,3,10,1,3,10,8,0,7,12185
38,3,3,307,1,3,3,3,0,12,3,3,2,17,6,2,16,10,5,13,10609
31,1,4,308,3,1,2,3,0,12,3,4,1,6,2,3,5,4,1,4,4345
59,3,3,309,3,2,1,4,3,17,3,1,1,7,6,3,1,0,0,0,2177
37,4,4,311,1,3,1,4,4,17,3,3,1,13,2,3,9,8,5,8,2793
29,1,1,312,2,3,3,4,1,14,3,4,1,11,5,3,11,10,4,1,7918
35,1,3,314,3,3,3,3,1,14,3,1,0,10,3,4,10,7,0,8,8789
29,18,1,315,3,2,1,4,1,13,3,3,0,4,3,2,4,3,0,1,2389
52,2,3,316,3,2,1,4,7,15,3,2,0,6,3,2,2,2,2,2,3212
42,4,2,319,3,3,5,4,1,11,3,4,0,22,3,3,22,17,11,15,19232
59,6,2,321,2,3,1,3,8,17,3,4,0,7,2,2,2,2,2,2,2267
50,1,4,323,4,3,5,4,3,11,3,3,1,32,3,2,7,0,0,6,19517
33,14,3,325,3,3,1,4,5,13,3,3,1,8,2,1,5,4,0,4,2436
43,16,3,327,4,3,4,4,5,22,4,3,1,22,3,3,17,13,1,9,16064
33,2,2,328,1,3,1,1,7,20,4,1,0,13,3,4,9,7,1,7,2707
52,2,4,329,1,2,5,3,1,18,3,4,0,33,2,4,33,7,15,12,19068
32,4,2,330,3,3,1,2,2,11,3,1,1,6,5,3,4,3,1,2,3931
32,1,3,331,4,2,1,3,0,14,3,4,0,4,2,1,3,2,1,2,3730
39,1,4,332,3,3,1,3,7,14,3,3,3,7,1,3,3,2,1,2,2232
32,26,4,333,3,3,2,4,0,18,3,1,0,4,2,3,3,2,2,2,4465
41,19,2,334,3,3,2,1,2,16,3,1,2,17,2,2,1,0,0,0,3072
40,24,2,335,1,3,2,4,1,17,3,1,2,9,3,3,9,8,4,7,3319
45,1,3,336,3,4,5,4,0,11,3,3,1,25,2,3,24,0,1,7,19202
31,3,4,337,2,3,3,3,9,12,3,1,1,9,3,3,2,2,2,2,13675
33,5,4,338,3,2,1,4,1,13,3,3,1,2,2,2,2,2,0,2,2911
34,2,4,339,4,2,2,1,6,13,3,2,1,13,3,3,11,9,5,9,5957
37,1,2,340,3,2,1,1,2,14,3,1,1,17,2,2,3,1,0,2,3920
45,7,4,341,1,4,2,3,4,17,3,4,1,9,1,3,3,2,0,2,6434
37,10,3,342,1,3,3,3,6,11,3,2,2,17,5,3,1,0,0,0,10048
39,2,4,343,3,3,3,3,0,25,4,4,0,20,1,3,19,6,11,8,10938
29,15,3,346,3,3,1,4,1,19,3,1,0,6,1,3,6,5,1,5,2340
42,17,2,347,4,4,2,1,3,13,3,3,0,10,1,3,3,2,0,2,6545
29,20,2,349,4,3,2,4,2,14,3,4,1,10,2,3,3,2,0,2,6931
25,1,3,350,1,3,2,3,0,12,3,4,2,5,3,3,4,2,1,2,4898
42,2,3,351,4,2,1,1,0,11,3,3,1,10,4,3,9,6,7,8,2593
40,2,2,352,1,3,5,3,0,19,3,4,1,22,5,3,21,7,3,9,19436
51,1,3,353,3,3,1,4,1,11,3,2,0,1,0,2,1,0,0,0,2723
31,29,2,355,3,2,1,2,0,11,3,2,0,6,2,4,5,4,1,4,3479
32,7,3,359,2,4,1,2,1,20,4,3,0,5,3,1,5,1,0,3,2794
38,2,2,361,4,2,2,4,3,18,3,4,1,13,0,3,8,7,7,5,5249
32,2,1,362,4,2,2,1,4,13,3,4,0,9,5,3,6,2,0,4,2176
46,2,3,363,3,1,4,2,3,12,3,2,1,28,2,2,7,7,7,7,16872
28,2,4,364,1,3,1,3,2,11,3,3,0,5,5,1,0,0,0,0,3485
29,2,3,366,1,2,2,2,2,19,3,2,2,10,2,3,0,0,0,0,6644
31,23,3,367,2,2,2,4,0,21,4,2,1,10,2,3,9,0,7,8,5582
25,5,2,369,2,4,2,1,1,12,3,4,2,6,2,3,6,3,1,5,4000
45,20,2,372,3,3,4,4,0,14,3,2,0,21,2,3,20,7,4,10,13496
36,6,3,373,4,3,1,4,0,11,3,3,1,16,4,3,15,13,10,11,3210
55,1,3,374,4,3,5,1,0,14,3,3,0,37,2,3,36,10,4,13,19045
47,29,4,376,1,3,3,2,1,12,3,4,1,10,2,2,10,7,9,9,11849
28,9,3,377,4,3,1,4,1,23,4,4,1,5,3,2,5,2,0,4,2070
37,6,4,378,3,3,2,4,4,14,3,2,1,7,5,4,5,4,0,1,6502
21,3,2,379,4,2,1,3,1,17,3,1,0,3,4,4,3,2,1,0,3230
37,1,4,380,1,3,3,4,2,18,3,1,2,15,2,3,5,2,0,2,13603
35,22,3,381,2,4,3,2,7,18,3,2,1,10,6,2,7,7,6,2,11996
38,7,2,382,1,4,2,1,1,24,4,3,1,8,3,3,8,0,7,7,5605
26,1,3,384,3,3,2,2,1,20,4,1,1,6,6,1,6,5,1,4,6397
50,4,1,385,1,3,5,2,3,14,3,1,2,28,4,2,10,4,1,6,19144
53,3,4,386,3,3,4,3,3,16,3,4,3,21,5,2,5,3,1,3,17584
42,1,1,387,2,3,2,3,1,25,4,3,0,20,3,3,20,16,11,6,4907
29,2,2,388,2,3,2,4,1,18,3,1,0,10,3,2,10,7,0,9,4554
55,20,2,389,2,3,2,4,3,19,3,4,1,12,4,3,10,7,0,8,5415
26,11,2,390,1,3,2,1,1,13,3,3,1,5,3,3,5,3,3,3,4741
37,1,3,391,4,3,1,4,1,12,3,2,0,17,3,3,17,12,5,7,2115
44,24,3,392,4,3,1,3,3,22,4,4,1,19,0,1,1,0,0,0,3161
38,23,4,393,4,3,2,4,9,14,3,2,1,10,2,3,2,2,1,2,5745
26,16,4,394,1,3,1,2,2,13,3,4,1,5,2,3,3,2,0,2,2373
28,8,2,395,4,3,1,4,1,21,4,4,0,5,3,3,5,3,0,2,3310
49,10,4,396,3,3,5,1,9,11,3,4,0,22,4,3,3,2,1,2,18665
36,3,3,397,3,3,2,2,4,12,3,4,0,10,2,3,8,0,7,7,4485
31,5,3,399,4,3,1,2,1,11,3,3,1,2,5,2,2,2,2,2,2789
26,4,4,401,4,2,2,4,1,12,3,2,0,8,0,3,8,7,7,4,5828
37,9,3,403,2,3,1,4,1,12,3,3,3,4,3,2,4,2,1,2,2326
42,26,3,404,3,3,4,2,5,14,3,4,1,23,2,4,20,4,4,8,13525
18,3,3,405,3,3,1,3,1,13,3,3,0,0,2,3,0,0,0,0,1420
35,16,3,406,3,3,3,2,0,15,3,3,2,12,3,2,11,9,6,9,8020
36,18,4,407,3,4,1,4,4,18,3,4,2,4,2,3,1,0,0,0,3688
51,2,3,408,4,1,2,2,5,18,3,4,1,13,3,3,4,1,1,2,5482
41,2,4,410,4,3,4,2,1,19,3,2,0,22,2,3,22,10,0,4,16015
18,10,3,411,4,2,1,3,1,12,3,1,0,0,2,3,0,0,0,0,1200
28,16,2,412,2,4,2,1,0,19,3,3,0,9,2,3,8,3,0,7,5661
31,7,3,416,2,4,2,4,4,11,3,2,1,10,3,2,8,7,7,7,6929
39,1,3,417,3,4,3,4,0,17,3,1,3,19,5,2,18,10,3,7,9613
36,24,4,419,2,3,2,2,7,15,3,3,1,11,3,3,9,8,0,8,5674
32,7,3,420,4,2,2,3,1,14,3,3,1,13,3,2,13,8,4,8,5484
38,25,2,421,1,2,3,2,3,17,3,3,1,19,2,3,10,8,0,1,12061
58,1,4,422,4,1,2,3,2,13,3,4,1,12,2,3,5,3,1,2,5660
31,5,4,423,3,3,1,4,0,12,3,3,1,6,4,3,5,2,0,3,4821
31,2,3,424,1,2,2,1,3,12,3,4,0,9,1,3,2,2,1,0,6410
45,7,3,425,1,3,3,1,1,18,3,1,1,24,2,3,24,9,9,11,5210
31,2,4,426,3,3,1,4,0,18,3,2,1,3,2,1,2,2,2,2,2695
33,5,4,428,4,3,3,2,6,11,3,2,2,12,2,3,10,6,8,8,11878
39,10,1,429,3,3,4,1,1,14,3,4,0,21,3,3,21,9,11,10,17068
43,10,4,430,3,3,1,4,0,19,3,1,0,9,5,3,8,7,1,7,2455
49,1,2,431,3,2,4,3,7,12,3,4,0,25,2,3,7,1,0,7,13964
